# enthalpy_of_formation, melting_point, unit_cell_volume
-8.974548810289633138e+02 9.982663372188840185e+02 1.012489559606679395e+05
-8.976710519687138685e+02 9.992893131153150534e+02 1.012495887003925163e+05
-8.992276544724709311e+02 1.006009124371352414e+03 1.012482018549730128e+05
-8.977368440350149967e+02 1.006015440127434772e+03 1.012502551355947944e+05
-8.976492197503953321e+02 9.973775603434411323e+02 1.012477743399562314e+05
-8.967463381659199513e+02 1.003726819192734638e+03 1.012473895133816986e+05
-8.966295803246598553e+02 9.961480747027408142e+02 1.012482341442396282e+05
-8.975378699480925206e+02 9.990942330174684685e+02 1.012481570305684872e+05
-8.988828796710604365e+02 9.992211864242459569e+02 1.012478109845909639e+05
-8.998236043513711593e+02 9.995284743187431786e+02 1.012503115999829897e+05
-9.003698313118062515e+02 1.006272492878159937e+03 1.012467668089387589e+05
-9.000021703213560613e+02 1.003522003358996699e+03 1.012452906631961960e+05
-8.993340854356994214e+02 1.005624055695569496e+03 1.012455081087922881e+05
-8.985515041146798012e+02 1.005536165895523027e+03 1.012480632064908859e+05
-9.003473581492784206e+02 1.005996678424220249e+03 1.012487992689409584e+05
-9.015985958178113151e+02 9.982832419893189808e+02 1.012483727255911508e+05
-9.023588346497901966e+02 1.005241634503989189e+03 1.012456521810380218e+05
-9.008994756603485712e+02 9.990830816179784506e+02 1.012507204290448281e+05
-9.003365788265034553e+02 9.962376979049171268e+02 1.012511620917167602e+05
-8.990977160266749024e+02 1.004662337729318551e+03 1.012465547719979950e+05
-8.981491995502310601e+02 9.992870121620262580e+02 1.012499917906014889e+05
-9.001882293961499499e+02 9.967936536362574316e+02 1.012477227193018771e+05
-8.950814800789084984e+02 9.981718832157846464e+02 1.012474196090671903e+05
-9.005750941841301938e+02 1.005326179104870789e+03 1.012468501530251815e+05
-9.000106564885952594e+02 1.005006365178863916e+03 1.012506590860179567e+05
-8.976091607904697867e+02 1.000194271576664050e+03 1.012472012994412216e+05
-9.010528565883895453e+02 9.972673203807307800e+02 1.012477564396405942e+05
-8.985985692579540682e+02 9.989517735869075068e+02 1.012493787794320961e+05
-8.980037676550858805e+02 1.003259297346656695e+03 1.012476196718702267e+05
-8.977099807790725663e+02 1.004131126124717525e+03 1.012487413909307652e+05
-8.965127513609375001e+02 1.004546126228305639e+03 1.012504003746389790e+05
-9.000618046931300569e+02 1.006608352908817096e+03 1.012484847830547660e+05
-8.987307767723618781e+02 9.969456769984278708e+02 1.012479360270588368e+05
-8.982831172554297154e+02 1.004129631418896906e+03 1.012450092408197524e+05
-8.996572021576414500e+02 1.004460858371598306e+03 1.012483973475091188e+05
