# energy_of_formation, melting_point, unit_cell_volume
2.545118971036705702e+00 -1.733662781116046547e+00 2.955960667942810982e+00
2.328948031286084852e+00 -7.106868846848939381e-01 3.588700392515369764e+00
7.723455275290137534e-01 6.009124371352433158e+00 2.201854973005160865e+00
2.263155964984999269e+00 6.015440127434749762e+00 4.255135594794143827e+00
2.350780249604655481e+00 -2.622439656558845478e+00 1.774339956241708371e+00
3.253661834080053161e+00 3.726819192734613040e+00 1.389513381700080430e+00
3.370419675340205590e+00 -3.851925297259127579e+00 2.234144239634069162e+00
2.462130051907501116e+00 -9.057669825315133316e-01 2.157030568490738709e+00
1.117120328939503748e+00 -7.788135757540080029e-01 1.810984590971277619e+00
1.763956486288436043e-01 -4.715256812568233147e-01 4.311599982986159318e+00
-3.698313118062506732e-01 6.272492878159884100e+00 7.668089387663640233e-01
-2.170321356033622084e-03 3.522003358996723676e+00 -7.093368038020952948e-01
6.659145643005374149e-01 5.624055695569563085e+00 -4.918912077155042084e-01
1.448495885320230769e+00 5.536165895523083691e+00 2.063206490881918764e+00
-3.473581492783827662e-01 5.996678424220242221e+00 2.799268940948820727e+00
-1.598595817811323094e+00 -1.716758010680990543e+00 2.372725591159045244e+00
-2.358834649790145566e+00 5.241634503989171634e+00 -3.478189619772439345e-01
-8.994756603486200319e-01 -9.169183820215840441e-01 4.720429044834381749e+00
-3.365788265034853621e-01 -3.762302095082853182e+00 5.162091716760570215e+00
9.022839733251359906e-01 4.662337729318537960e+00 5.547719980023196884e-01
1.850800449768930545e+00 -7.129878379737113470e-01 3.991790601488609980e+00
-1.882293961499658663e-01 -3.206346363742587524e+00 1.722719301873670839e+00
4.918519921091437652e+00 -1.828116784215404245e+00 1.419609067190070517e+00
-5.750941841302019686e-01 5.326179104870830017e+00 8.501530251721158837e-01
-1.065648859525786252e-02 5.006365178863967813e+00 4.659086017961447723e+00
2.390839209530271958e+00 1.942715766640548125e-01 1.201299441227599907e+00
-1.052856588389571524e+00 -2.732679619269185789e+00 1.756439640602915464e+00
1.401430742045906896e+00 -1.048226413092482323e+00 3.378779432091508994e+00
1.996232344914148804e+00 3.259297346656765626e+00 1.619671870227077370e+00
2.290019220927491439e+00 4.131126124717550141e+00 2.741390930764363798e+00
3.487248639062559441e+00 4.546126228305642059e+00 4.400374638976272124e+00
-6.180469313009168131e-02 6.608352908817086480e+00 2.484783054771297017e+00
1.269223227638173856e+00 -3.054323001572182950e+00 1.936027058836746528e+00
1.716882744570277675e+00 4.129631418896840600e+00 -9.907591802393640457e-01
3.427978423585894552e-01 4.460858371598316552e+00 2.397347509118978426e+00
2.177117283692990402e+00 4.421177590190882079e+00 1.462424047451345910e+00
1.717025242967929577e+00 5.268759025042781374e+00 -3.006675915173012692e-01
2.841444153874411738e-02 4.549680186127270431e+00 2.199749555314673088e+00
1.381126610957637002e+00 3.603519008369246102e+00 -7.009164825651170716e-02
1.208691217091869552e+00 4.871031106851650527e+00 7.235888999877083672e-01
1.552621371881876877e+00 -1.237810518472315602e+00 3.962540271420281091e+00
1.364344738891113629e+00 4.717188338424474381e+00 4.207841601616609140e+00
5.121210998469666320e-02 -7.675199647221508936e-02 3.679984125420339147e+00
2.066240490137424501e+00 -3.791396422324353921e+00 2.501795173718457388e+00
9.967294582119456958e-02 -2.961291646870329863e+00 3.166677545313428155e+00
-1.649139185692233833e-01 -1.550572838903398587e+00 2.180287099312830712e+00
9.946180540047211416e-01 6.657676749252245507e+00 3.090911058007451473e+00
3.081375587693202522e+00 -1.443665675056201581e+00 5.145270659383053058e+00
4.574360776038710608e-01 -1.510717000481217598e-01 2.832317959839840249e+00
7.609008109720143409e-01 3.730749154022814817e+00 2.594524120789392541e+00
2.298933282687524393e+00 -3.614161917328235329e+00 4.221391775561263771e+00
2.370527745765786953e+00 5.177124214545276715e+00 -1.086637085376339629e+00
2.521927479669902272e+00 1.232801907861447388e+00 2.153350323379542575e-01
2.341538440685383193e+00 4.779614650235343376e+00 3.234759464596341783e+00
-1.986467189891414908e-01 -3.989458856436582046e+00 3.331382085344284150e+00
1.769837936048142435e+00 4.937730260011628403e+00 1.559643317715697641e-02
2.154975818793253950e+00 4.217583049750298407e+00 1.468441943171853170e+00
4.641558435065877841e-01 -4.524863226596965049e+00 1.198881621571957545e+00
1.931008659849835718e+00 -1.114933207803239013e+00 2.012451607304486245e+00
-1.844832834196963867e-01 -2.200054532880154401e+00 3.016006265021895505e-01
1.333424800294963131e+00 2.194842953046541201e+00 1.170181052628568086e+00
1.561932830558045771e+00 -1.199308403527000300e+00 2.401587576632050691e+00
-1.687178716136547241e+00 1.169405067466951165e+00 2.382574969294724454e+00
-5.676794201650504634e-01 -2.411273897039729164e+00 -3.505150189592416421e-01
1.429977925156167062e+00 3.352304186926944762e+00 1.511155772452170254e+00
1.587462832908160593e+00 3.148913215780415165e+00 2.864141308370603323e+00
1.184839967973804864e+00 -2.061372144562400588e-01 2.236761717559714757e+00
3.090984916108566516e+00 -2.169957111600649302e+00 1.961121426622745911e+00
1.635357630443300403e+00 4.553797570507183146e+00 3.007814676771037199e+00
-3.242059311743150651e-02 3.764457585137578111e+00 8.355480983661964789e-01
-7.777606706821480476e-01 -1.579849122626279190e+00 3.279688207661551225e+00
-4.468909238903329695e-01 -4.471002026933033946e+00 5.295113052356649419e+00
3.750656948565949556e+00 3.982537343148263798e+00 1.306742564441603083e+00
3.876865813220399248e-01 -2.654272547514999747e-01 2.870235358514157120e+00
1.979197719092169461e-01 3.173230628177488910e+00 2.261802260287898658e+00
-1.272746842195775496e+00 2.403956755805452872e+00 1.796672494235053374e+00
3.047692414260924743e+00 -8.993069962581170529e-01 3.571201500276602658e+00
5.274733232548092232e-01 -3.145918762259398704e+00 2.746543934157851918e+00
-3.554001264074079791e-01 5.708385142777078869e+00 1.266806631779967995e+00
1.637819439456221993e+00 4.571976626048159353e+00 8.561339221182326931e-01
2.384027420465204994e+00 -1.806967680936574672e+00 3.911063781957977437e-01
9.636970742009592916e-01 -5.623221952129666690e-01 3.800219655010027342e+00
2.593090724857650686e-01 3.584303606436468392e+00 2.985804968948146509e+00
7.029029028615806363e-01 3.999442066298389609e+00 1.890443352468906824e+00
1.822352628877170311e+00 -7.220092323716705840e-01 3.524925444754572812e+00
1.216544229594242132e+00 7.936432322643609538e-01 2.827450960874443808e+00
4.877658753162338323e-01 5.009437044718112908e+00 2.522438128764110665e+00
2.319160487881390065e+00 6.366233427037874648e+00 5.695003954112487499e-02
5.295837594439025686e-01 3.840267873877706517e+00 -4.587381880620875485e-01
2.808761165773534518e-01 5.026009538108583641e+00 -2.559280002340597049e-01
8.653830791258723121e-01 3.315957877240884866e+00 1.283916572522894484e+00
-2.456659981475297627e+00 4.681013949980695088e+00 -9.693424202667626499e-01
1.123114296665435718e+00 3.631539283427327902e+00 1.081260629837295317e+00
3.426352113926892429e+00 -3.998973322771175454e+00 3.365952751321135583e+00
4.380902014527906729e+00 2.122238815550242741e+00 2.123905297385046520e+00
-4.007370761820731042e-01 4.682532268063698488e+00 3.285750217325010603e+00
-4.681198047233459114e-02 -2.506831066113739404e+00 3.035653299094386970e+00
3.980354379830826073e-01 1.901033253989584448e+00 7.244961086653171067e-01
-1.398137517456127465e+00 5.219356396109197327e+00 2.719786347568341478e-01
2.124630070820145988e+00 -1.945275425876765496e+00 5.065233897507058991e+00
-2.040159772766870994e+00 -3.696535609196898609e+00 2.239356847979484755e+00
9.592869991537567032e-01 -6.367051338170466313e-01 2.933160539401232558e+00
8.029597509845098902e-02 3.946904732844379371e+00 -8.082384204091985769e-02
2.362902535032039564e-01 3.489495113423313200e+00 2.679342590825015691e+00
5.161214145059882519e-01 3.694332631780796294e+00 7.592000347793231851e-01
3.365426210172720367e+00 3.915928379933232950e+00 2.517764390371895367e+00
2.858439427559823276e+00 -2.228065527660765266e+00 1.627652183946127540e+00
2.547294008553134814e-01 7.759662373974302696e+00 4.652437873505566035e-01
-7.995508817434815452e-01 3.150289704532787116e-01 2.964746807971948783e+00
-1.231482432648885350e+00 6.775989725759729687e+00 2.301609154663878609e+00
2.697267924560494023e+00 -8.426744594813224687e-01 2.381513713380225106e+00
7.063828248279686584e-01 2.697658395182576108e+00 3.636945111829582800e+00
1.235026703285794003e+00 4.335380359461485256e+00 2.204449206978944975e+00
3.715046580867256143e-01 6.137454933022031156e+00 2.367679988548168080e+00
2.995506798126240433e+00 -2.123772161108168355e+00 4.091750582596088925e+00
-1.172969096455485083e-01 4.598623428541567471e+00 2.587404061102704489e+00
3.397936470796428243e-01 5.597681344441066464e+00 -1.928161118029521726e+00
1.901599910136413163e+00 4.316729175824754350e+00 2.845773834114866840e+00
-1.673405514135557270e+00 -7.864378819346100613e-01 3.648405250303691449e+00
-1.345855614447587056e+00 2.262648347312091524e+00 5.572764343628223038e+00
2.495636898084929278e+00 -4.892774981210545882e-02 4.068261765824920495e+00
-1.715073828688086444e+00 6.293479790996929779e+00 6.083578851234816565e-01
-6.632351851897801964e-01 -2.000308698300693244e+00 3.853062675469696163e+00
7.189505817131228715e-01 5.461473154268890795e+00 3.290523752378474498e+00
1.505494988288062608e+00 4.074625692130276811e+00 1.072374381882421623e-01
6.986895720324827197e-01 3.092314596023856499e+00 -1.145345279122043092e-01
-3.410154356686146415e-01 5.352858052830115732e+00 4.634340902640137205e-01
-5.544595165589296659e-01 -8.113018746866079711e-01 2.383955021762912629e+00
-2.633877294420265414e-01 4.156108540810241614e+00 1.060050091889716439e+00
2.097052579853442733e+00 2.520369894642785713e+00 3.215146987536777079e+00
1.071163069846992721e+00 4.538547134396453409e+00 2.403539075733291064e+00
8.739076705595482109e-01 6.873801409922439376e+00 9.381352883602176451e-01
-6.245752016637242665e-01 -2.430401793596199234e+00 4.299994858048994395e+00
-1.444576692790432215e+00 3.984676907127437051e+00 7.120676796423640598e-01
8.608395244743687336e-01 -2.780688114444337611e+00 1.504741878023448720e+00
-9.432636812598641507e-01 3.425640521031731112e+00 1.662799352866526359e+00
1.312743880895426707e-01 -3.648115346211626697e-01 2.056663715857450780e-01
2.626696585877055679e+00 6.250820285937721543e+00 6.099603600278246773e+00
7.020040592629462894e-01 1.205968633568703208e+00 2.804406555450488003e+00
